Tamaño de la matriz, Duración (s)
0, 4.833e-6
100, 0.000198449
200, 0.000303662
300, 0.000626454
400, 0.000819347
500, 0.001492777
600, 0.002232476
700, 0.004253187
800, 0.004929978
900, 0.006145056
1000, 0.008486816
1100, 0.010825142
1200, 0.015047188
1300, 0.03449272
1400, 0.029198012
1500, 0.032719541
1600, 0.038598996
1700, 0.042616266
1800, 0.057046102
1900, 0.060265166
2000, 0.074362745
2100, 0.073440623
2200, 0.074594586
2300, 0.098281535
2400, 0.092053346
2500, 0.119746177
2600, 0.118333357
2700, 0.133635367
2800, 0.135199313
2900, 0.158816834
3000, 0.173109931
3100, 0.187043784
3200, 0.206205698
3300, 0.232264342
3400, 0.284520587
3500, 0.304134535
3600, 0.300293796
3700, 0.329462372
3800, 0.383635784
3900, 0.44115712
4000, 0.419138251
4100, 0.437461314
4200, 0.462482761
4300, 0.493785711
4400, 0.523649812
4500, 0.576634673
4600, 0.625833903
4700, 0.748763849
4800, 0.857248372
4900, 0.872480867
5000, 1.09826033
5100, 0.97641497
5200, 1.219393972
5300, 1.268571189
5400, 1.276830373
5500, 1.362154095
5600, 1.344718383
5700, 1.470053332
5800, 1.568839286
5900, 1.544424746
6000, 1.675851857
6100, 1.639654129
6200, 1.745445093
6300, 1.8657227
6400, 1.870612125
6500, 2.149745628
6600, 3.066344835
6700, 2.592415976
6800, 2.784137694
6900, 2.93945191
7000, 2.919339789
7100, 3.66832124
7200, 2.854895623
7300, 2.763316239
7400, 2.701021522
7500, 2.812985109
7600, 2.843363228
7700, 3.051753987
7800, 3.038946184
7900, 3.289219487
8000, 3.232378301